page name,extracted <h1> text,extracted <label> text
acb10ds,Air  circuit breaker LT SUB LT Panel | VT-FM-UTM-ACB-026,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb11ds,Air  circuit breaker LT DG INCOMER NO1 | VT-FM-UTM-ACB-027,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb12ds,Air  circuit breaker LT TRANSFORMER NO10 | VT-FM-UTM-ACB-028,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb13ds,Air  circuit breaker LT Bus coupler | VT-FM-UTM-ACB-029,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb14ds,Air  circuit breaker LT Spare for solar | VT-FM-UTM-ACB-030,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb15ds,Air  circuit breaker LT APFCR 800 KVAR | VT-FM-UTM-ACB-031,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb16ds,Air  circuit breaker LT MCC AHU | VT-FM-UTM-ACB-032,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb17ds,Air  circuit breaker LT MCC CH1 | VT-FM-UTM-ACB-033,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb18ds,Air  circuit breaker LTTRANSFORMER NO11 | VT-FM-UTM-ACB-034,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
acb19ds,Air  circuit breaker LT I-C Supply from SYP15 | VT-FM-UTM-ACB-035,Name of Person Filling the Sheet - Acceptance Criteria  Name- | Check Position Rack IN - Acceptance Criteria  ON- | Check Spring Charge - Acceptance Criteria  Charged- | Check Breaker Trip - Acceptance Criteria  NO TRIP- | Any Abnormal Viations - Acceptance Criteria  NO- | Check for Abnormal Noise - Acceptance Criteria  Below 85dB- | Check Fire Extinguisher Placement - Acceptance Criteria  Nearest to Unit- | Highlight Issues if any Type None for No Issues
